# n=20,M=32,U=1000000000
# source=netflix,raw_dir=training_set,encoding=movie_rating_date,n_requested=20,n_available=480189,M=32,U=1000000000,total_rating_lines=100480507,num_movie_files=17770
2910882,15610882,17210883,17411009,19011231,19610917,24013062,29410943,29811967,32810883,36012092,44411037,45610884,46713062,49311197,50013107,52712913,56310943,57911517,65713107,70409932,70512912,72210027,78710942,82413107,87111027,88513064,98410943,109511327,114312911,114411477,117911327
712474,2712133,2910944,8212934,17410854,18412133,19010943,25612134,27212133,28212134,28413074,29812133,31212134,32811513,34712133,35610944,45610774,45709389,46711514,50012134,53412132,54912134,56212131,57010393,60612132,63512133,68812474,70412132,70712132,75711748,79712134,88511748
114312603,120112604,142712603,151712603,171812600,179812604,184212602,190412604,215112602,218512604,219912603,257912603,278112603,310512603,342612603,353712601,360912604,392412604,393512603,393712603,430512604,457612602,458912603,488212603,499512603,505312604,505512603,531612604,549512604,609812603,634912604,638512604
17408302,19009583,19612518,28407747,29808466,46710412,47208814,48209766,57007708,88512517,89910346,98407764,114407987,117910412,154107979,164409581,174312907,181510501,181807776,190412909,197407777,203607983,211109582,212107708,215107983,217112519,251709453,257709897,278112518,290410412,298508510,299110413
17709692,76012118,342612631,443112634,465512632,499512631,531612633,603612633,678512634,692612631,760413104,932513104,16912631,64213178,152112662,181812117,183612629,291712630,307312847,431212631,510612633,512312632,526913103,624112631,676412630,687812630,730709751
19611683,61412753,67910650,154111683,196111683,237011683,237111683,251711682,287911683,372912753,391612751,457610654,465510653,508410653,529211683,598211682,905011683,16911682,45010653,131311682,148911682,172111682,208911682,291010651,321511681,370411682,374710652,438111682,453711682,490811682,505711682,520411682
2910288,19009612,19610943,35610287,46710288,95309793,117211719,130209443,146909443,164409273,173311718,211111558,217010288,225309722,237111558,245611368,251812074,269810288,277810287,287311368,291212073,297311717,315012662,319611154,328112662,333211557,337009613,344511828,392409442,393711369,396109379,414811828
2911686,17909776,19009204,31209204,33009617,35611688,45611823,46710244,71909844,75711689,83110879,88512149,109108867,121911644,124408946,130611688,146911687,150809649,156010043,160909748,186411685,190411688,196110534,211111444,225308877,226109543,236909203,237111689,239011686,245111685,273309088,287311688
2910072,8310527,14707185,19009478,22411571,25611304,26112519,28411482,29811369,31106435,33008307,33312323,36012948,40512973,42511758,42809397,46710103,47410528,48206433,52712710,56211758,60609584,63512097,64412474,65712098,69111207,70411263,70709582,74508458,75710996,79712097,85008053
44208528,136608303,143408469,192908203,239909788,257909813,291212329,337009814,360410559,447808814,499408528,532612857,626710602,706609811,792709338,830010558,844609324,868608303,964409307,92709811,114808468,216010602,249608322,254509812,340109307,378610573,436309812,475308321,558108322,571410557,633909336,740210636
9412110,11010416,16612223,17409929,19010698,24712599,28912412,35610433,36012667,37411032,41510698,45710373,48110414,71612597,76012983,89909929,98510842,146910208,159711061,160911437,177012463,237111513,244212598,245111128,246012101,255711962,257712803,258412599,263912223,278112598,291212413,301012001
5112491,25612756,31212324,32812963,48212321,57012759,114312759,114412320,140512759,146512756,177012499,186413075,190413079,209412756,212112759,215112322,237113052,257912756,287312324,291212756,328112758,371212323,376212591,389312964,392412755,412212324,440112759,457612759,465512757,474412322,531612321,547112758
8212493,16612493,17412317,26909382,27409088,29809087,31209382,32812315,35210168,35610701,41212491,44212709,48108824,48208925,54908952,57008952,60608927,70708992,73809437,86108918,89512318,94109921,98408926,104609068,110109087,110912494,114310169,114408917,117909159,126608927,130609920,136312318
2912868,25613098,29812798,31212798,43512797,48212798,69112798,88513089,107212814,114312798,114412798,117312798,117912924,125512798,128812797,146913089,154112799,161412868,168112798,175313098,179712798,184212797,187612798,196112798,215112798,228912798,238812797,245112799,265912799,278112799,286112799,291212869
33312959,114412959,128812959,154112959,215112959,215212959,221112959,228912959,246112958,248113122,307812959,309712959,341712959,412212959,430112959,454412959,457612959,463912959,505512959,506812959,518012959,580613044,587413239,623412955,626512957,634612958,638512959,639712959,697012958,761612959,762312958,961612959
186412939,333212938,337012938,345512879,348812938,391612938,396112939,435512938,472612936,551412939,586112937,602812939,642712939,728012937,815812939,832612939,859512938,864312937,878112939,878312939,94612937,102112935,106312937,108812937,116412938,124112938,160612937,170012938,181112937,208312938,215412937,216012935
17412981,24013012,31212981,32812981,34712982,41212981,48113012,57012984,73212981,107213013,114312982,117912982,125412982,154112981,183113011,186412984,193812982,204213011,212112983,257712982,286112984,291213013,292112982,294313012,296412984,307813013,322512982,341712982,361612982,375512982,385912982,386313012
89613172,949712831,469012838
2711159,5412824,5711359,7611283,11711289,14211159,14711344,19011249,26911159,27211894,28811823,28911514,29411284,32811283,32911159,38011167,39211749,45611282,48211284,54911289,56311284,57011158,60611359,63012884,65711159,70411159,70711283,79711288,80711284,81811159,87111344,93911359
26911858,48112987,88511858,113312988,199713027,203211748,216512493,280812732,291211889,295412597,328111908,391612145,431412108,507012733,531912493,532612702,619412072,647411908,659512246,724811856,727411373,730212413,763112001,922513011,939712663,940911746,941412235,974612662,22811852,107612002,131611367,160313006
